Gene	c1	c3	c4	c2
c1_ADARB2	5	4	4	4
c1_LPIN2	5	4	4	4
c1_CNTNAP4	5	4	4	4
c1_PLCH1	5	4	4	4
c1_PPARGC1A	5	4	4	4
c1_RIT2	5	4	4	4
c1_LHFPL2	5	4	4	4
c1_MDFIC	5	4	4	4
c1_ZNF385D	5	4	4	4
c1_AMHR2	5	4	4	4
DUMMY28	-100	-100	-100	-100
c1_ARPP21	2	2	2	4
c1_INPP4B	2	2	2	4
c1_MGAT4C	2	2	2	4
c1_CDH13	2	2	2	4
c1_KIAA1024	2	2	2	4
c1_PADI1	2	2	2	4
c1_MIR217HG	2	2	2	4
c1_TRPC6	2	2	2	4
c1_PHLDA1	2	2	2	4
DUMMY29	-100	-100	-100	-100
c1_AC007655.1	1	1	4	1
c1_LINC00922	1	1	4	1
c1_THSD4	1	1	4	1
c1_AC110716.1	1	1	4	1
c1_INSM1	1	1	4	1
c1_INHBA	1	1	4	1
c1_AC233976.1	1	1	4	1
c1_ACKR3	1	1	4	1
c1_NDNF	1	1	4	1
c1_AC122134.1	1	1	4	1
c1_VTN	1	1	4	1
c1_AL359649.1	1	1	4	1
c1_PROKR1	1	1	4	1
c1_PDK4	1	1	4	1
DUMMY30	-100	-100	-100	-100
c1_AC018953.1	2	4	4	1
c1_DAB2	2	4	4	1
c1_RSPO3	2	4	4	1
c1_KCNIP4-IT1	2	4	4	1
c1_LINC02552	2	4	4	1
c1_TFEB	2	4	4	1
c1_ANKRD34B	2	4	4	1
DUMMY32	-100	-100	-100	-100
c1_AR	1	1	4	4
c1_LRTM2	1	1	4	4
c1_SLITRK2	1	1	4	4
c1_FOXA2	1	1	4	4
c1_RORB	1	1	4	4
c1_MRC1	1	1	4	4
DUMMY34	-100	-100	-100	-100
c1_AC009495.2	1	1	1	4
c1_LMX1B	1	1	1	4
c1_GBX2	1	1	1	4
c1_AL160153.1	1	1	1	4
c1_GHRH	1	1	1	4
c1_GRID2	1	1	1	4
c1_IPCEF1	1	1	1	4
c1_IRS4	1	1	1	4
c1_IRX3	1	1	1	4
c1_KCNA1	1	1	1	4
c1_FOXP1	1	1	1	4
c1_PLD5	1	1	1	4
c1_PTGFR	1	1	1	4
c1_ANOS1	1	1	1	4
c1_FBXO47	1	1	1	4
c1_OPRM1	1	1	1	4
c1_ADAMTS5	1	1	1	4
c1_AC113145.1	1	1	1	4
c1_PTH2R	1	1	1	4
c1_AC104248.1	1	1	1	4
c1_LINC00347	1	1	1	4
c1_NKX6-1	1	1	1	4
c1_FEV	1	1	1	4
c1_NPIPA7	1	1	1	4
c1_DLX6-AS1	1	1	1	4
c1_LINC02424	1	1	1	4
c1_DLX1	1	1	1	4
c1_MYH15	1	1	1	4
c1_DDIT4L	1	1	1	4
c1_LINC02432	1	1	1	4
c1_COL4A6	1	1	1	4
DUMMY35	-100	-100	-100	-100
c1_B3GALT5	4	4	2	2
c1_SPI1	4	4	2	2
c1_ZADH2	4	4	2	2
c1_SLC6A5	4	4	2	2
c1_NRXN3	4	4	2	2
c1_CBLN4	4	4	2	2
c1_SLC30A3	4	4	2	2
c1_S100Z	4	4	2	2
DUMMY37	-100	-100	-100	-100
c1_AL356961.1	5	5	5	4
c1_UGT8	5	5	5	4
c1_SLC32A1	5	5	5	4
c1_NXPH1	5	5	5	4
c1_GAD2	5	5	5	4
DUMMY38	-100	-100	-100	-100
c1_AP001628.1	4	1	1	1
c1_SYNE1-AS1	4	1	1	1
c1_VIP	4	1	1	1
c1_PRLHR	4	1	1	1
c1_P2RY1	4	1	1	1
c1_IQCJ	4	1	1	1
DUMMY40	-100	-100	-100	-100
c1_AC007405.2	1	4	1	1
c1_AC007920.2	1	4	1	1
c1_TPPP2	1	4	1	1
c1_AC011995.1	1	4	1	1
c1_AC026725.1	1	4	1	1
c1_AC068533.4	1	4	1	1
c1_OR2I1P	1	4	1	1
c1_COL8A1	1	4	1	1
c1_EN2	1	4	1	1
c1_LYL1	1	4	1	1
c1_PATE1	1	4	1	1
DUMMY43	-100	-100	-100	-100
